Country,Injury Severity,Aircraft Damage,Aircraft Category,Make,Model,Amateur Built,Engines Count,Engine Type,Purpose of Flight,Total Fatal Injuries,Total Serious Injuries,Total Minor Injuries,Total Uninjured,Weather Condition,Report Status,Event Date,Latitude,Longitude,Amateur Built Category,Total Passengers,Aircraft Damage Severity,Average Uninjured Rate,Average Fatality Rate,Average Serious Rate,Average Minor Rate,Month
United States,Non-Fatal,Substantial,Airplane,Cessna,TU206F,0,1.0,Reciprocating,Personal,0.0,0.0,4.0,0.0,VMC,Probable Cause,1982-01-10,,,No,4.0,2,0.0,0.0,0.0,1.0,1
United States,Non-Fatal,Substantial,Airplane,Quickie,1,1,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Probable Cause,1982-01-10,,,Yes,1.0,2,1.0,0.0,0.0,0.0,1
United States,Non-Fatal,Destroyed,Airplane,Piper,PA-28-140,0,1.0,Reciprocating,Personal,0.0,1.0,1.0,0.0,VMC,Probable Cause,1982-01-11,,,No,2.0,3,0.0,0.0,0.5,0.5,1
United States,Fatal,Destroyed,Airplane,Cessna,210N,0,1.0,Reciprocating,Personal,4.0,1.0,1.0,0.0,IMC,Probable Cause,1982-01-11,,,No,6.0,3,0.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,1
United States,Non-Fatal,Substantial,Airplane,Cessna,180,0,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Probable Cause,1982-01-11,,,No,1.0,2,1.0,0.0,0.0,0.0,1
United States,Non-Fatal,Substantial,Airplane,Cessna,310L,0,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Probable Cause,1982-01-11,,,No,1.0,2,1.0,0.0,0.0,0.0,1
United States,Non-Fatal,Destroyed,Airplane,Cessna,414,0,2.0,Reciprocating,Personal,0.0,0.0,3.0,0.0,UNK,Probable Cause,1982-01-12,,,No,3.0,3,0.0,0.0,0.0,1.0,1
United States,Non-Fatal,Substantial,Airplane,Beech,P35,0,1.0,Reciprocating,Personal,0.0,1.0,0.0,1.0,IMC,Probable Cause,1982-01-12,,,No,2.0,2,0.5,0.0,0.5,0.0,1
United States,Non-Fatal,Destroyed,Airplane,Grumman,AA5B,0,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Probable Cause,1982-01-13,,,No,1.0,3,1.0,0.0,0.0,0.0,1
United States,Non-Fatal,Substantial,Airplane,Piper,PA-28R-201T,0,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Probable Cause,1982-01-13,,,No,3.0,2,1.0,0.0,0.0,0.0,1
United States,Non-Fatal,Substantial,Airplane,Beech,A23-24,0,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Probable Cause,1982-01-13,,,No,4.0,2,1.0,0.0,0.0,0.0,1
United States,Fatal,Destroyed,Airplane,Cessna,T210N,0,1.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,VMC,Probable Cause,1982-01-15,,,No,3.0,3,0.0,1.0,0.0,0.0,1
United States,Non-Fatal,Substantial,Airplane,Cessna,172,0,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Probable Cause,1982-01-15,,,No,2.0,2,1.0,0.0,0.0,0.0,1
United States,Non-Fatal,Substantial,Airplane,Cessna,150M,0,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Probable Cause,1982-01-16,,,No,1.0,2,1.0,0.0,0.0,0.0,1
United States,Fatal,Destroyed,Airplane,Cessna,150M,0,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Probable Cause,1982-01-17,,,No,1.0,3,0.0,1.0,0.0,0.0,1
United States,Fatal,Destroyed,Airplane,Bede aircraft,BD-5B,1,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Probable Cause,1982-01-17,,,Yes,1.0,3,0.0,1.0,0.0,0.0,1
